energy_keV,PA_bin,PA_center_rad,PA_center_deg,probability_sum,max_phi_bin,max_pixel_id,max_probability
15,0,0.0,0.0,1.0,19,387,0.0007942498161803506
20,0,0.0,0.0,0.9999999999999998,35,900,0.000678827206530209
30,0,0.0,0.0,1.0,1,868,0.0006300299356300225
40,0,0.0,0.0,1.0,19,388,0.0006156183945088676
50,0,0.0,0.0,0.9999999999999999,19,388,0.000606827781623762
60,0,0.0,0.0,1.0,19,388,0.0005994337849795849
80,0,0.0,0.0,1.0,35,900,0.000586371563697926
100,0,0.0,0.0,1.0,35,900,0.0005750527344031506
15,1,0.008726646259971648,0.5,1.0,19,387,0.0007958023240309977
20,1,0.008726646259971648,0.5,1.0,1,868,0.0006802612154812619
30,1,0.008726646259971648,0.5,1.0,1,868,0.0006313608613183779
40,1,0.008726646259971648,0.5,1.0,19,388,0.0006169188761036933
50,1,0.008726646259971648,0.5,1.0,19,388,0.0006081096932239767
60,1,0.008726646259971648,0.5,0.9999999999999999,19,388,0.0006007000769091828
80,1,0.008726646259971648,0.5,0.9999999999999998,1,868,0.0005876102619452828
100,1,0.008726646259971648,0.5,1.0,19,388,0.0005762675218491015
15,2,0.017453292519943295,1.0,1.0,19,387,0.0007972780815131647
20,2,0.017453292519943295,1.0,1.0,1,868,0.0006816243322204876
30,2,0.017453292519943295,1.0,1.0,1,868,0.0006326259908582981
40,2,0.017453292519943295,1.0,1.0,19,388,0.0006181550665958616
50,2,0.017453292519943295,1.0,0.9999999999999999,19,388,0.0006093282317548549
60,2,0.017453292519943295,1.0,1.0,19,388,0.0006019037679494157
80,2,0.017453292519943295,1.0,1.0,1,868,0.0005887877234350458
100,2,0.017453292519943295,1.0,1.0,19,388,0.0005774222546009335
15,3,0.026179938779914945,1.5000000000000002,1.0,19,387,0.0007986766390968298
20,3,0.026179938779914945,1.5000000000000002,0.9999999999999999,1,868,0.0006829161415293414
30,3,0.026179938779914945,1.5000000000000002,1.0,1,868,0.0006338249388790664
40,3,0.026179938779914945,1.5000000000000002,1.0,19,388,0.000619326589429774
