"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm),Case 4 (Y>2mm，|X|<2mm),Case 5 (Y<-2mm，|X|<2mm),Case 6 (X>2mm，Y>2mm),Case 7 (X>2mm，Y<-2mm),Case 8 (X<-2mm，Y<-2mm),Case 9 (X<-2mm，Y>2mm)
60503.38248314773,60503.62417552482,60503.39346960034,,,60503.40186780057,60503.392824076516,60503.442520743396,
60503.38280573003,,60503.3937940055,,,60503.445101044505,60503.44026323175,60503.44703702553,
60503.3831283587,,60503.39444242403,,,60503.44639194652,60503.4480087812,60503.50953560735,
60503.383450975394,,60503.3947658063,,,60503.474236486145,,60503.513408347244,
60503.38377709099,,60503.39541139627,,,60503.48632988689,,60503.55537391745,
60503.38409993039,,60503.39573447744,,,60503.515362624545,,60503.55634162945,
60503.385068550786,,60503.39670265231,,,60503.55311347618,,60503.55730903557,
60503.3853915776,,60503.397025864906,,,60503.66350715303,,60503.559244387914,
60503.38571464914,,60503.39734870677,,,,,60503.55956762797,
60503.38603790308,,60503.39767161758,,,,,,
60503.386360938726,,60503.39896238998,,,,,,
60503.386684147554,,60503.402513723515,,,,,,
60503.38700860631,,60503.40315943082,,,,,,
60503.38733155558,,60503.47132786502,,,,,,
60503.38765451296,,60503.4719737988,,,,,,
60503.38797778644,,60503.472296961394,,,,,,
60503.38830117778,,60503.472620375214,,,,,,
60503.389269949825,,60503.472943360386,,,,,,
60503.389593234046,,60503.47326667274,,,,,,
60503.38991629167,,60503.47358972196,,,,,,
60503.39023919098,,60503.47391324114,,,,,,
60503.39088502407,,60503.62094805318,,,,,,
60503.3912082778,,60503.62159356956,,,,,,
60503.39153140847,,60503.62223911236,,,,,,
60503.39185486566,,60503.62288456015,,,,,,
60503.39217796486,,60503.62353017554,,,,,,
60503.399285470136,,60503.6296624253,,,,,,
60503.39993135235,,,,,,,,
60503.40057680287,,,,,,,,
60503.400899555345,,,,,,,,
60503.40154468926,,,,,,,,
60503.40348271671,,,,,,,,
60503.40477293975,,,,,,,,
60503.40574382933,,,,,,,,
60503.4076783264,,,,,,,,
60503.408324367854,,,,,,,,
60503.40896978299,,,,,,,,
60503.40929265728,,,,,,,,
60503.40961561247,,,,,,,,
60503.40993870058,,,,,,,,
60503.41058440056,,,,,,,,
60503.41122993099,,,,,,,,
60503.41155297613,,,,,,,,
60503.42477560846,,,,,,,,
60503.42780123972,,,,,,,,
60503.42990888391,,,,,,,,
60503.43087694505,,,,,,,,
60503.44833144992,,,,,,,,
60503.44929910838,,,,,,,,
60503.45221604092,,,,,,,,
60503.452861654485,,,,,,,,
60503.4531847897,,,,,,,,
60503.45350774283,,,,,,,,
60503.453830689155,,,,,,,,
60503.45415374283,,,,,,,,
60503.45447696114,,,,,,,,
60503.45479987739,,,,,,,,
60503.45512273748,,,,,,,,
60503.45544643578,,,,,,,,
60503.45576956255,,,,,,,,
60503.45609274528,,,,,,,,
60503.45673836609,,,,,,,,
60503.457061872476,,,,,,,,
60503.45770712061,,,,,,,,
60503.45703969299,,,,,,,,
60503.46131694899,,,,,,,,
60503.462284913025,,,,,,,,
60503.46293048408,,,,,,,,
60503.46422087119,,,,,,,,
60503.46518911659,,,,,,,,
60503.46551249153,,,,,,,,
60503.467126712974,,,,,,,,
60503.46777244139,,,,,,,,
60503.46874051403,,,,,,,,
60503.46971191489,,,,,,,,
60503.47003499526,,,,,,,,
60503.470357962724,,,,,,,,
60503.47068114581,,,,,,,,
60503.47100455938,,,,,,,,
60503.56021321535,,,,,,,,
60503.5605362492,,,,,,,,
60503.56118188775,,,,,,,,
60503.56182720313,,,,,,,,
60503.56247273412,,,,,,,,
60503.567651155616,,,,,,,,
60503.56797397104,,,,,,,,
60503.56829671612,,,,,,,,
60503.56861960923,,,,,,,,
60503.568942462385,,,,,,,,
60503.5692654639,,,,,,,,
60503.56991105547,,,,,,,,
60503.57023390513,,,,,,,,
60503.57055679958,,,,,,,,
60503.57087950542,,,,,,,,
60503.57120225596,,,,,,,,
60503.57152500557,,,,,,,,
60503.57184786907,,,,,,,,
60503.572170536456,,,,,,,,
60503.57249341345,,,,,,,,
60503.57281656788,,,,,,,,
60503.57313964489,,,,,,,,
60503.57346306498,,,,,,,,
60503.573786330475,,,,,,,,
60503.57410944061,,,,,,,,
60503.57443266271,,,,,,,,
60503.57475599307,,,,,,,,
60503.575079036695,,,,,,,,
60503.57540600338,,,,,,,,
60503.57572894955,,,,,,,,
60503.576551085,,,,,,,,
60503.576873989245,,,,,,,,
60503.57719668923,,,,,,,,
60503.5775196744,,,,,,,,
60503.57784252975,,,,,,,,
60503.57816526836,,,,,,,,
60503.57848809032,,,,,,,,
60503.57881091793,,,,,,,,
60503.57913356929,,,,,,,,
60503.57945647081,,,,,,,,
