"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm),Case 4 (Y>2mm，|X|<2mm),Case 5 (Y<-2mm，|X|<2mm)
60500.45918977628,,60500.46142858268,,
60500.4601489536,,,,
60500.460468886624,,,,
60500.46078839114,,,,
60500.4611078983,,,,
60500.462069505345,,,,
60500.462388958964,,,,
60500.46270845787,,,,
60500.463027899066,,,,
60500.46334730653,,,,
60500.463666627096,,,,
60500.46398595136,,,,
60500.46430526994,,,,
60500.46462458557,,,,
60500.46494385337,,,,
60500.46526359893,,,,
60500.46558567932,,,,
60500.46590557218,,,,
60500.46622561513,,,,
60500.466545382784,,,,
60500.46686510886,,,,
60500.46718484821,,,,
60500.46750452735,,,,
60500.467824030326,,,,
60500.46814359575,,,,
60500.468463147496,,,,
60500.46878276659,,,,
60500.46910457781,,,,
60500.469424371826,,,,
60500.46974391476,,,,
60500.47006356648,,,,
60500.47038305143,,,,
60500.47070253722,,,,
60500.47102199003,,,,
60500.4713414628,,,,
60500.47166100397,,,,
60500.47198047106,,,,
60500.47230000243,,,,
60500.472621706205,,,,
60500.47294115159,,,,
60500.47326049949,,,,
60500.47357993591,,,,
60500.47389923836,,,,
60500.47421855311,,,,
60500.474537897855,,,,
60500.4748577424,,,,
60500.47517751871,,,,
60500.47549721338,,,,
60500.47581688547,,,,
60500.476138812206,,,,
60500.476458519144,,,,
60500.476778275464,,,,
60500.47709814397,,,,
60500.47741773855,,,,
60500.47773733344,,,,
60500.478057096174,,,,
60500.47837673043,,,,
60500.47869636742,,,,
60500.47901591123,,,,
60500.4793354196,,,,
60500.479657246535,,,,
60500.47997665523,,,,
60500.48029605152,,,,
60500.48061553744,,,,
60500.48093505335,,,,
60500.48125450262,,,,
60500.481573994046,,,,
60500.48189341412,,,,
60500.482212830844,,,,
60500.48253212019,,,,
60500.48285144828,,,,
60500.483173214234,,,,
60500.483492458785,,,,
60500.483811741346,,,,
60500.48413188693,,,,
60500.48445177148,,,,
60500.48477165603,,,,
60500.48541047936,,,,
60500.485730261156,,,,
60500.486050283005,,,,
60500.48637011683,,,,
60500.48701113368,,,,
60500.487330789365,,,,
60500.48765052781,,,,
60500.48797010625,,,,
60500.48828964175,,,,
60500.48860956462,,,,
60500.48892922203,,,,
60500.4892487952,,,,
60500.48956824704,,,,
60500.489887753996,,,,
60500.490209427226,,,,
60500.490528962226,,,,
60500.490848415524,,,,
60500.49116791238,,,,
60500.49148740461,,,,
60500.491806791426,,,,
60500.4921262028,,,,
60500.4924456483,,,,
60500.49276503363,,,,
60500.49308429596,,,,
60500.493404135865,,,,
60500.49372622736,,,,
60500.49404617395,,,,
60500.49436592769,,,,
60500.49468578901,,,,
60500.495005455065,,,,
60500.49532506902,,,,
60500.495644692404,,,,
60500.49596430185,,,,
60500.496283854256,,,,
60500.49660336843,,,,
60500.49692302311,,,,
60500.49724497483,,,,
60500.49756460598,,,,
60500.49788418212,,,,
60500.498203722724,,,,
60500.49852317607,,,,
60500.49884257984,,,,
60500.49916209843,,,,
60500.499481462684,,,,
60500.49980082334,,,,
60500.50012025463,,,,
60500.50043964927,,,,
60500.50076163926,,,,
60500.501081067545,,,,
60500.50140033391,,,,
60500.50171967954,,,,
60500.50203902821,,,,
60500.5023582641,,,,
60500.502678137454,,,,
60500.50299786433,,,,
60500.50331764714,,,,
60500.50363744485,,,,
60500.50395726964,,,,
60500.50427956797,,,,
60500.50459922208,,,,
60500.50491888791,,,,
60500.505238484286,,,,
60500.50555809797,,,,
60500.50587764671,,,,
60500.506197116076,,,,
60500.50651664667,,,,
60500.506836093715,,,,
60500.50715560114,,,,
60500.507475075996,,,,
60500.50779705599,,,,
60500.50811645283,,,,
60500.50843597723,,,,
60500.508755326606,,,,
60500.50907483838,,,,
60500.509394103334,,,,
60500.509713419524,,,,
60500.51003276215,,,,
60500.51035209538,,,,
60500.510671392134,,,,
60500.51108352683,,,,
60500.51140543881,,,,
60500.51172495024,,,,
60500.51204427183,,,,
60500.512363607464,,,,
60500.51268287319,,,,
60500.5130021821,,,,
60500.51332143562,,,,
60500.51364072085,,,,
60500.51395999576,,,,
60500.51427940778,,,,
60500.514599208385,,,,
60500.51492145209,,,,
60500.515241360874,,,,
60500.515561021246,,,,
60500.51588078913,,,,
60500.516200456106,,,,
60500.51652022805,,,,
60500.51683994755,,,,
60500.51715966061,,,,
60500.5174793612,,,,
60500.51779886671,,,,
60500.51811843357,,,,
60500.51844052797,,,,
60500.518760077204,,,,
60500.519079568665,,,,
60500.51939901837,,,,
60500.51971845234,,,,
60500.520037974355,,,,
60500.520357369765,,,,
60500.52067678727,,,,
60500.52099632277,,,,
60500.52131580241,,,,
60500.52163520376,,,,
60500.52195699452,,,,
60500.52227633914,,,,
60500.52259566914,,,,
60500.522915067704,,,,
60500.523234284505,,,,
60500.523553555555,,,,
60500.52387339357,,,,
60500.52419310653,,,,
60500.5245128877,,,,
60500.524832584946,,,,
60500.52515223932,,,,
60500.52547433812,,,,
60500.52579403628,,,,
60500.52611370905,,,,
60500.526433306564,,,,
60500.5267528696,,,,
60500.52707260888,,,,
60500.5273921371,,,,
60500.52771159584,,,,
60500.52803118382,,,,
60500.52835078999,,,,
60500.528670208536,,,,
60500.528992288164,,,,
60500.52931182945,,,,
60500.52963124648,,,,
60500.52995056271,,,,
60500.530270047435,,,,
60500.5304185839,,,,
60500.53041545471,,,,
60500.53041569769,,,,
60500.53041623618,,,,
60500.53041642477,,,,
60500.53041696506,,,,
60500.530419758856,,,,
60500.53041650563,,,,
60500.530416699796,,,,
60500.53041703558,,,,
60500.530417265494,,,,
60500.53041410538,,,,
60500.530414265035,,,,
60500.53041465793,,,,
60500.53041499198,,,,
60500.53041530696,,,,
60500.53041554283,,,,
60500.53041845567,,,,
60500.530415843794,,,,
60500.53041650433,,,,
60500.53041711517,,,,
60500.53041774806,,,,
60500.53041517099,,,,
60500.530416001406,,,,
60500.5304167396,,,,
60500.53041729782,,,,
60500.530414659515,,,,
60500.530415386456,,,,
60500.53041896004,,,,
60500.53041617354,,,,
60500.53041684849,,,,
60500.530417910166,,,,
60500.53041507573,,,,
60500.53041560922,,,,
60500.53041613878,,,,
60500.53041689946,,,,
60500.53041765593,,,,
60500.53041462991,,,,
60500.53041504847,,,,
60500.53041794812,,,,
60500.530415160225,,,,
60500.53041594347,,,,
60500.53041671045,,,,
60500.53041746243,,,,
60500.53041474514,,,,
60500.530415548055,,,,
60500.53041610893,,,,
60500.530416617024,,,,
60500.5304170439,,,,
60500.53041768898,,,,
60500.530417151196,,,,
60500.530414390596,,,,
60500.530414880355,,,,
60500.530415361514,,,,
60500.530415938476,,,,
60500.53041638646,,,,
