"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm)
60501.40130100747,,60501.41152850652
60501.40193991409,,60501.411848240285
60501.402259480485,,60501.412487287766
60501.40257919354,,60501.42111740511
60501.403218193955,,60501.42143698142
60501.4038574309,,
60501.40449630809,,
60501.40545449556,,
60501.40609501248,,
60501.406414868936,,
60501.406734456716,,
60501.40737326641,,
60501.4076929492,,
60501.408012504224,,
60501.408651852595,,
60501.4092906813,,
60501.40961004791,,
60501.40992987545,,
60501.41024968068,,
60501.41057011071,,
60501.41088950563,,
60501.419518616996,,
60501.4201578957,,
60501.42047807352,,
60501.421756583215,,
60501.42207666041,,
60501.42239651365,,
60501.422715971705,,
60501.42303561471,,
60501.423675173646,,
60501.42399492061,,
60501.42431473253,,
60501.42495319203,,
60501.42527291713,,
60501.4255925056,,
60501.42591255295,,
60501.42655108006,,
60501.42719018685,,
60501.428467491554,,
60501.428786862976,,
60501.42942615913,,
60501.42974692551,,
60501.43006690596,,
60501.43038673347,,
60501.43070665631,,
60501.4310264104,,
60501.43134604338,,
60501.431666044475,,
60501.431985869334,,
60501.43262223572,,
60501.43294189744,,
60501.4332615641,,
60501.433581053425,,
60501.43390070401,,
60501.43422033817,,
60501.434539951966,,
60501.43485947591,,
60501.43517894218,,
60501.43549887677,,
60501.435820605526,,
60501.436140354,,
60501.43646027824,,
60501.43709994431,,
60501.43742015693,,
60501.437740088804,,
60501.438059869426,,
60501.4383796207,,
60501.439018836136,,
60501.43933880295,,
60501.43997770929,,
60501.440297599256,,
60501.441255712605,,
60501.441575664285,,
60501.44189541843,,
60501.44253522886,,
60501.44317387092,,
60501.44349367662,,
60501.4438133489,,
60501.444132892284,,
60501.444452649645,,
60501.444772313094,,
60501.44509198522,,
60501.445411432105,,
60501.44573091022,,
60501.44605039071,,
60501.44636987054,,
60501.446689328965,,
60501.447008973395,,
60501.447328462295,,
60501.44764793261,,
60501.447967340544,,
60501.448286780105,,
60501.4486060568,,
60501.448925323006,,
60501.44924458668,,
60501.44956449809,,
60501.44988455203,,
60501.45020453654,,
60501.45052417209,,
60501.450843992076,,
60501.45116375139,,
60501.451483492325,,
60501.45180316985,,
60501.45212286064,,
60501.45244249096,,
60501.45276217049,,
60501.453081760046,,
60501.453401405204,,
60501.453721481674,,
60501.454041081066,,
60501.45436056849,,
60501.45468037622,,
60501.45499989114,,
60501.45531939957,,
60501.455639261585,,
60501.45595885692,,
60501.45627871432,,
60501.456598153985,,
60501.45691961594,,
60501.45723908102,,
60501.457558549584,,
60501.457878807196,,
60501.45883801923,,
60501.45947756982,,
60501.46139385932,,
60501.461713818004,,
60501.46235339092,,
60501.46331244428,,
60501.46395144415,,
60501.46427133436,,
60501.465229676134,,
60501.465868376574,,
60501.466507176534,,
60501.466826691736,,
60501.46714613117,,
60501.46746554877,,
60501.46778507714,,
60501.46810451307,,
60501.4684241361,,
60501.468744407335,,
60501.46906516477,,
60501.469385336,,
60501.47002593799,,
60501.4709865065,,
60501.4716271817,,
60501.47514396763,,
60501.47578307739,,
60501.47674511373,,
60501.477068294655,,
60501.39261364653,,
60501.39261647608,,
60501.39261340436,,
60501.39261402572,,
60501.39261535305,,
60501.392617633246,,
60501.39261479942,,
60501.39261533809,,
60501.39261585566,,
60501.48446374489,,
60501.48510269127,,
60501.48542255794,,
60501.486061722,,
60501.486381628354,,
60501.48670116905,,
60501.48702082279,,
60501.487340533036,,
60501.48766015031,,
60501.48797999231,,
60501.48861909781,,
60501.48925799484,,
60501.490217843064,,
60501.49053831593,,
60501.490858246514,,
60501.49117821448,,
60501.491818536415,,
60501.492458086796,,
60501.49309771362,,
60501.49341791139,,
60501.49373810533,,
60501.494057794254,,
60501.49437781007,,
60501.49469775114,,
60501.49501738055,,
60501.495337150416,,
60501.49565700631,,
60501.49597668917,,
60501.496296344696,,
60501.49661599696,,
60501.496935942385,,
60501.4972554253,,
60501.49757547535,,
60501.497895046545,,
60501.4982145749,,
60501.49853411724,,
60501.49885361662,,
60501.499175397556,,
60501.49949481466,,
60501.49981413527,,
60501.50013372536,,
60501.500453108536,,
60501.500772832966,,
60501.50109256169,,
60501.50141265165,,
60501.501732593766,,
60501.50205237779,,
60501.50237237236,,
60501.502692033304,,
60501.50301186766,,
60501.50333171495,,
60501.503651318344,,
60501.50397091723,,
60501.50429069151,,
60501.504610388685,,
60501.50493009301,,
60501.50525011144,,
60501.50556983882,,
60501.505889689186,,
60501.5062095279,,
60501.50652936742,,
60501.506848952624,,
60501.50716868797,,
60501.50748837963,,
60501.507807916976,,
60501.50812746535,,
60501.50844686194,,
60501.50876626732,,
60501.5090857097,,
60501.5094055156,,
60501.509725170756,,
60501.51004485348,,
60501.51036418484,,
60501.51068408452,,
60501.511003956635,,
60501.51132379928,,
60501.51164357628,,
60501.51196328526,,
60501.51228329887,,
60501.51260293132,,
60501.51292300418,,
60501.51324296181,,
60501.513563684945,,
60501.51388449513,,
60501.51420481368,,
60501.514524398,,
60501.5148441419,,
60501.5151638098,,
60501.515483360694,,
60501.515802967086,,
60501.516122655776,,
60501.51644225468,,
60501.516761988256,,
60501.51708282098,,
60501.517402439305,,
60501.517722047836,,
60501.518041695395,,
60501.51836108997,,
