"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.33359132542,60502.478654985585,60502.36751935751
60502.33391457313,60502.504221157586,60502.3688189263
60502.334238382085,,60502.3691440032
60502.33456403884,,60502.37596784372
60502.334887255616,,60502.383405218694
60502.340696013285,,60502.39267944411
60502.383417980636,,60502.39300612638
60502.38340414071,,60502.393977710075
60502.38341823794,,60502.394303661735
60502.38340595698,,60502.39462944072
60502.392028213035,,60502.394954753705
60502.424208974146,,60502.468246279255
60502.42518617717,,60502.46857193391
60502.432312510755,,60502.46889756505
60502.43393808199,,60502.46922330232
60502.43686420834,,60502.46954903074
60502.43881487893,,60502.469874781884
60502.43914027652,,60502.47020081659
60502.439465808944,,60502.47052652378
60502.439791195065,,60502.470851950944
60502.45214374927,,60502.47117725485
60502.452269410016,,60502.471502841145
60502.45227125967,,60502.47182811209
60502.452270557085,,60502.48092838652
60502.45226987978,,60502.48125318806
60502.452269532594,,60502.48157794289
60502.45226877621,,60502.48190268351
60502.45228382769,,60502.48222815898
60502.45227111509,,60502.48255389261
60502.45227049659,,60502.482879704294
60502.452269888636,,60502.48320533068
60502.452269334026,,60502.48353123828
60502.452268531306,,60502.48385670117
60502.45228329371,,60502.48418222505
60502.42869279563,,60502.48450822495
60502.428707487634,,60502.4848338291
60502.428694617054,,60502.48515932834
60502.42869238228,,60502.485485404904
60502.42870683342,,60502.48581128489
60502.45846624988,,60502.486136847234
60502.458791732635,,60502.48678738258
60502.45911754071,,60502.48743745006
60502.4594429736,,60502.509753191895
60502.45976824517,,60502.54102913585
60502.46334513049,,60502.54135282954
60502.46432041698,,60502.54199868117
60502.46464664732,,60502.54232149682
60502.46497311944,,60502.542970750845
60502.465298583586,,60502.544261851675
60502.46562453071,,60502.545230212825
60502.465950658225,,60502.5497509704
60502.466277203304,,60502.55007470966
60502.46660273108,,60502.55072170773
60502.46692846289,,
60502.46725444908,,
60502.46792060255,,
60502.47247824975,,
60502.47280357199,,
60502.47312900776,,
60502.47345440514,,
60502.47897979963,,
60502.479954178045,,
60502.480603624965,,
60502.49084506376,,
60502.49117003123,,
60502.49149496655,,
60502.49182135194,,
60502.49214609498,,
60502.49279578757,,
60502.49312043851,,
60502.49344549932,,
60502.4937703008,,
60502.49409538967,,
60502.494420736046,,
60502.49474576419,,
60502.49539678913,,
60502.495722717525,,
60502.49604796979,,
60502.496373136106,,
60502.49669853819,,
60502.497023963406,,
60502.49734976628,,
60502.497675397615,,
60502.49800103267,,
60502.49832634629,,
60502.498651818605,,
60502.4989771376,,
60502.499302458076,,
60502.49962784017,,
60502.49995311866,,
60502.50027829314,,
60502.5006037148,,
60502.50092963687,,
60502.50125529948,,
60502.501580818396,,
60502.50190625778,,
60502.502231494975,,
60502.5025568681,,
60502.50288225395,,
60502.50320749229,,
60502.50353281778,,
60502.50454664603,,
60502.50487205543,,
60502.505197151615,,
60502.5055226344,,
60502.50584885997,,
60502.5061745561,,
60502.50649976623,,
60502.50682515866,,
60502.507150918565,,
60502.50747619003,,
60502.507801216845,,
60502.50812633921,,
60502.50845185114,,
60502.508777016876,,
60502.5091022853,,
60502.50942772816,,
60502.51007915136,,
60502.51073033259,,
60502.51105354883,,
60502.51137659784,,
60502.5116996649,,
60502.51202292588,,
60502.51234599344,,
60502.512669656106,,
60502.5129928255,,
60502.51331580611,,
60502.513640012134,,
60502.513963873054,,
60502.51428721909,,
60502.51461042511,,
60502.51493318933,,
60502.515257308085,,
60502.51558056409,,
60502.51590366138,,
60502.51622679278,,
60502.516550447406,,
