"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm，|Y|<2mm),Case 3 (X<-2mm，|Y|<2mm),Case 4 (Y>2mm，|X|<2mm),Case 5 (Y<-2mm，|X|<2mm),Case 6 (X>2mm，Y>2mm),Case 7 (X>2mm，Y<-2mm),Case 8 (X<-2mm，Y<-2mm),Case 9 (X<-2mm，Y>2mm)
60501.757300815676,,60502.10073828042,,,60502.07702446463,60502.10523799437,60502.112931950665,
60501.7576204821,,60502.10105887702,,,60502.09977643732,60502.131831490566,60502.113573097246,
60501.75794066157,,60502.101379424785,,,60502.106521181275,,60502.114217652874,
60501.75826081228,,60502.10170025791,,,60502.10940618953,,,
60501.75858111765,,60502.10234113923,,,60502.11100723762,,,
60501.75890114188,,60502.10266304093,,,60502.12575217927,,,
60501.75922156073,,60502.10298554074,,,60502.13919997514,,,
60501.759541925865,,60502.10362990111,,,60502.14047983842,,,
60501.75986201046,,60502.10395129738,,,60502.15113264923,,,
60501.76018217302,,60502.10716211873,,,,,,
60501.76050261546,,60502.10748191914,,,,,,
60501.76082269859,,60502.10780201128,,,,,,
60501.76114268852,,60502.10844476213,,,,,,
60501.76146274484,,60502.108764793025,,,,,,
60501.76178287551,,60502.109726582916,,,,,,
60501.76210304849,,60502.11004669988,,,,,,
60501.762423091466,,60502.125110065856,,,,,,
60501.76274306043,,60502.12670932209,,,,,,
60501.76306300367,,60502.12702935945,,,,,,
60501.76338288717,,60502.127350044626,,,,,,
60501.7637028762,,60502.12767043963,,,,,,
60501.764022633986,,60502.127990763096,,,,,,
60501.76434258329,,60502.128311227745,,,,,,
60501.764662422,,60502.12863143338,,,,,,
60501.764982342655,,60502.12927148332,,,,,,
60501.765302148284,,60502.12959139625,,,,,,
60501.76562209205,,60502.12991145613,,,,,,
60501.76594189249,,60502.13023134246,,,,,,
60501.76626189243,,60502.13055118079,,,,,,
60501.76658175216,,60502.130871565925,,,,,,
60501.7669017475,,60502.13119189408,,,,,,
60501.767225059346,,60502.13151175188,,,,,,
60501.76754488755,,60502.132151193524,,,,,,
60501.76786457772,,60502.13407084689,,,,,,
60501.76818432161,,60502.134391122934,,,,,,
60501.768504247375,,60502.13471148233,,,,,,
60501.76882434403,,60502.135031561455,,,,,,
60501.76914453117,,60502.13567600221,,,,,,
60501.76946484845,,60502.135996113524,,,,,,
60501.76978533643,,60502.13631682025,,,,,,
60501.77010572464,,60502.136637607226,,,,,,
60501.77042604087,,60502.136958012175,,,,,,
60501.770746198694,,60502.1372783095,,,,,,
60501.77106629393,,60502.13759843594,,,,,,
60501.7713864103,,60502.138238717096,,,,,,
60501.771706560816,,60502.13887988264,,,,,,
60501.77202644773,,60502.13952009326,,,,,,
60501.77234687426,,60502.13984027511,,,,,,
60501.77266680637,,60502.14111944918,,,,,,
60501.7729870254,,60502.14176533209,,,,,,
60501.77330700464,,60502.142088478875,,,,,,
60501.773626795344,,60502.142734315465,,,,,,
60501.77394680588,,60502.14338003074,,,,,,
60501.77426665492,,60502.14370306958,,,,,,
60501.774586490625,,60502.14402607118,,,,,,
60501.77490625679,,60502.1462891528,,,,,,
60501.77522613803,,60502.146612183526,,,,,,
60501.775546033125,,60502.147257664634,,,,,,
60501.775866011005,,60502.14758064572,,,,,,
60501.776185780116,,60502.147903515586,,,,,,
60501.77650573274,,60502.148226594654,,,,,,
60501.77682568935,,60502.14887213034,,,,,,
60501.77714552407,,60502.14919498686,,,,,,
60501.77746538539,,60502.14951809271,,,,,,
60501.77778896274,,60502.149840964594,,,,,,
60501.778108839186,,60502.150486567494,,,,,,
60501.778428723715,,60502.150809606916,,,,,,
60501.77874840868,,60502.15242378733,,,,,,
60501.77906809715,,60502.154037649954,,,,,,
60501.779388508665,,60502.15533006692,,,,,,
60501.77970875399,,,,,,,,
60501.78002918461,,,,,,,,
60501.78034996028,,,,,,,,
60501.78067036628,,,,,,,,
60501.78099051837,,,,,,,,
60501.78131089114,,,,,,,,
60501.78163085157,,,,,,,,
60501.78195107536,,,,,,,,
60501.78227101456,,,,,,,,
60501.78259137507,,,,,,,,
60501.78291151628,,,,,,,,
60501.78323205384,,,,,,,,
60501.78355197368,,,,,,,,
60501.78387190176,,,,,,,,
60501.7841918324,,,,,,,,
60501.784511765065,,,,,,,,
60501.78483151329,,,,,,,,
60501.785151345655,,,,,,,,
60501.78547121608,,,,,,,,
60501.78579136603,,,,,,,,
60501.7861111796,,,,,,,,
60501.78643109572,,,,,,,,
60501.7867508231,,,,,,,,
60501.7870707063,,,,,,,,
60501.78739045185,,,,,,,,
60501.78771014575,,,,,,,,
60501.78803024106,,,,,,,,
60501.788353949865,,,,,,,,
60501.788673748284,,,,,,,,
60501.78899334197,,,,,,,,
60501.78931397521,,,,,,,,
60501.78963429274,,,,,,,,
60501.78995446616,,,,,,,,
60501.7902746123,,,,,,,,
60501.79059491538,,,,,,,,
60501.79091491354,,,,,,,,
60501.79123513836,,,,,,,,
60501.791555213094,,,,,,,,
60501.79187537236,,,,,,,,
60501.7921953241,,,,,,,,
60501.79251538328,,,,,,,,
60501.79283537566,,,,,,,,
60501.79315552607,,,,,,,,
60501.79347581818,,,,,,,,
60501.79379562185,,,,,,,,
60501.79443544286,,,,,,,,
60501.79475526215,,,,,,,,
60501.79507501506,,,,,,,,
60501.79539479286,,,,,,,,
60501.79571453806,,,,,,,,
60501.79603432468,,,,,,,,
60501.7963540368,,,,,,,,
60501.79667385004,,,,,,,,
60501.79699359342,,,,,,,,
60501.797313395175,,,,,,,,
60501.797633139824,,,,,,,,
60501.79795289082,,,,,,,,
60501.798272750195,,,,,,,,
60501.79859262268,,,,,,,,
60501.79891631133,,,,,,,,
60501.79923594302,,,,,,,,
60501.79955551901,,,,,,,,
60501.79987579626,,,,,,,,
60501.80019584693,,,,,,,,
60501.80051610264,,,,,,,,
60501.800836265465,,,,,,,,
60501.80115652276,,,,,,,,
60501.801476436995,,,,,,,,
60501.801796428575,,,,,,,,
60501.80211707724,,,,,,,,
60501.802436956976,,,,,,,,
60501.80275689033,,,,,,,,
60501.80307686616,,,,,,,,
60501.8033971055,,,,,,,,
60501.80371724874,,,,,,,,
60501.80403745663,,,,,,,,
60501.804357404166,,,,,,,,
60501.80467715864,,,,,,,,
60501.804997011706,,,,,,,,
60501.80531686698,,,,,,,,
60501.80563663192,,,,,,,,
60501.805956566044,,,,,,,,
60501.80627634456,,,,,,,,
60501.80659622929,,,,,,,,
60501.806916049005,,,,,,,,
60501.80723580892,,,,,,,,
60501.80755538782,,,,,,,,
60501.807874981896,,,,,,,,
60501.80819466486,,,,,,,,
60501.8085144482,,,,,,,,
60501.808834143914,,,,,,,,
60501.80915380083,,,,,,,,
60501.80947724945,,,,,,,,
60501.80979676916,,,,,,,,
60501.810116944296,,,,,,,,
60501.81043698271,,,,,,,,
60501.810756877094,,,,,,,,
60501.811077098326,,,,,,,,
60501.811397223435,,,,,,,,
60501.811717264325,,,,,,,,
60501.81203745775,,,,,,,,
60501.812357659124,,,,,,,,
60501.81267797161,,,,,,,,
60501.81299790899,,,,,,,,
60501.81331804044,,,,,,,,
60501.813638149644,,,,,,,,
60501.813958406594,,,,,,,,
60501.81427848578,,,,,,,,
60501.814598329496,,,,,,,,
60501.81491808358,,,,,,,,
60501.81523789862,,,,,,,,
60501.81555781972,,,,,,,,
