"Case 1 (|X|,|Y|<2mm)",Case 2 (X>2mm),Case 3 (X<-2mm)
60502.71182024891,60502.93440621669,60503.14279288913
60502.712144797566,60502.934729042885,60503.14311594095
60502.71246841114,60502.935052451125,60503.1434390667
60502.712791791,60502.93537563351,60503.14376204355
60502.71311496637,60502.935698869886,60503.14408508224
60502.71343812036,60502.93602210664,60503.14440803453
60502.71376117572,60502.93634845379,60503.144731100314
60502.71408408363,60502.93667171267,60503.145054126166
60502.71440712784,60502.93731800813,60503.14537735055
60502.71473109501,60502.93925421548,60503.14570025354
60502.715054090164,60502.93957762425,60503.14602333471
60502.71537713859,60502.94054619034,60503.14634642695
60502.71570004323,60502.94102158575,60503.14699229273
60502.71602415624,60503.14731495821,60503.195718637835
60502.716348959184,,60503.19604176449
60502.71667272686,,60503.19636459252
60502.716995950446,,60503.19701010597
60502.71731932004,,60503.19926959081
60502.71764273402,,60503.200238068544
60502.717966265154,,60503.200561129604
60502.71829029394,,60503.20120863594
60502.718613836354,,60503.20250343175
60502.71893757714,,60503.20314898224
60502.71926099199,,60503.20347170922
60502.7195843253,,60503.20379450511
60502.71990801384,,60503.20411764381
60502.72023172502,,60503.2044407151
60502.720557237866,,60503.20476358128
60502.72088077541,,60503.20508641668
60502.72120396776,,60503.21575164951
60502.7215275944,,
60502.721851191614,,
60502.72217474387,,
60502.72249853732,,
60502.722822186144,,
60502.72314555885,,
60502.72346898078,,
60502.72379260459,,
60502.72443910311,,
60502.72476234258,,
60502.725085311686,,
60502.72540852806,,
60502.72573163841,,
60502.72605497372,,
60502.726378219944,,
60502.72670270191,,
60502.727026426444,,
60502.72734972685,,
60502.72767314083,,
60502.72799615651,,
60502.72831928843,,
60502.72864259289,,
60502.72896618557,,
60502.7292894024,,
60502.72961232373,,
60502.72993576286,,
60502.73025863788,,
60502.733680720536,,
60502.73400596581,,
60502.734329058694,,
60502.734652349616,,
60502.7349756764,,
60502.735298799824,,
60502.73562166544,,
60502.73594490812,,
60502.73626784932,,
60502.736590725646,,
60502.73691355123,,
60502.737236791676,,
60502.73756044818,,
60502.73788339455,,
60502.73853075858,,
60502.73917996402,,
60502.74111916529,,
60502.74144226104,,
60502.74176524972,,
60502.742411168,,
60502.74273403712,,
60502.743057076455,,
60502.74372466622,,
60502.74404775584,,
60502.74437092584,,
60502.74469590478,,
60502.745019891765,,
60502.74534312701,,
60502.74544869707,,
60502.745454002856,,
60502.74545468736,,
60502.73300141023,,
60502.744757937646,,
60502.74508071474,,
60502.74540372824,,
60502.74572669631,,
60502.74605060376,,
60502.74637363914,,
60502.74669666434,,
60502.7470198312,,
60502.74734276314,,
60502.74766564427,,
60502.7479885989,,
60502.7483114708,,
60502.74863491735,,
60502.74895821222,,
60502.74928158277,,
60502.749605046,,
60502.749928892255,,
60502.75025209348,,
60502.75057560671,,
60502.750898712075,,
60502.75122193825,,
60502.751545083316,,
60502.751868093095,,
60502.75219129587,,
60502.75251626184,,
60502.75283917932,,
60502.75316225283,,
60502.753485233436,,
60502.75380820563,,
60502.754131214504,,
60502.75445418265,,
60502.7547771737,,
60502.75510003695,,
60502.75542297524,,
60502.75574618747,,
60502.75639394896,,
60502.75671702773,,
60502.75703996116,,
60502.75736303156,,
60502.76097239049,,
60502.76126422627,,
60502.76126542569,,
60502.7612504088,,
60502.76126298297,,
60502.76126350407,,
60502.76126404477,,
60502.7612643579,,
60502.76126503975,,
60502.761265530724,,
60502.761262422624,,
60502.761259088475,,
60502.763082125544,,
60502.76340722948,,
60502.76373019358,,
60502.764053468505,,
60502.764376466,,
60502.764699433275,,
60502.76502243572,,
60502.76534547123,,
60502.765668659515,,
60502.76599162842,,
60502.76631474612,,
60502.76663755979,,
60502.76696050637,,
60502.76728336319,,
60502.76760640892,,
60502.76792962369,,
60502.76825262852,,
60502.76890012335,,
60502.769223120566,,
60502.769546016876,,
60502.76986898013,,
60502.770517110235,,
60502.7708403824,,
60502.77116326959,,
60502.771487009115,,
60502.77180980594,,
60502.77213272753,,
60502.77245544634,,
60502.77277816877,,
60502.773100877435,,
60502.77342369382,,
60502.773746314684,,
60502.77407153438,,
60502.77439456459,,
60502.77471739566,,
60502.77504024077,,
60502.77536301417,,
60502.77568675013,,
60502.77601002018,,
60502.77633312534,,
60502.77665637067,,
60502.776979519884,,
60502.77730284773,,
60502.7776261552,,
60502.77794916501,,
60502.77827221175,,
60502.778595385054,,
60502.77891854308,,
60502.779242080505,,
60502.77956528787,,
60502.77988827702,,
60502.78021144834,,
60502.780534404534,,
60502.78085785336,,
60502.78118133843,,
60502.78150435471,,
60502.781827635234,,
60502.78215054061,,
60502.78247353874,,
60502.78279653398,,
60502.783421095686,,
60502.78374397771,,
60502.784066973196,,
60502.78438996128,,
60502.784715206595,,
60502.78503837752,,
60502.785361173315,,
60502.78568409762,,
60502.78600710121,,
60502.78633098957,,
60502.786653972726,,
60502.786976835676,,
60502.78729970405,,
60502.787622458796,,
60502.78794519024,,
60502.78826787796,,
60502.78859061763,,
60502.78891341286,,
60502.78923618198,,
60502.78955902551,,
60502.78988200055,,
60502.79020467487,,
60502.79052815902,,
60502.79085151719,,
60502.79117457278,,
60502.79149781698,,
60502.791821086175,,
60502.79214408818,,
60502.79246783999,,
60502.79279106098,,
60502.79311416567,,
60502.79343748262,,
60502.793760443376,,
60502.79408352979,,
60502.794406811256,,
60502.7947298809,,
60502.795052865375,,
60502.7953780307,,
60502.79570112095,,
60502.79602408179,,
60502.79634711555,,
60502.796670075826,,
60502.79699312065,,
60502.79731664345,,
60502.79763958089,,
60502.79796239947,,
60502.79828538148,,
60502.7986082031,,
60502.79893113747,,
60502.79925408301,,
60502.79957702468,,
60502.7998997899,,
60502.80022257484,,
60502.800545586404,,
60502.800868459024,,
60502.801191695035,,
60502.80151467064,,
60502.8018374097,,
60502.80216017598,,
60502.80248289034,,
60502.80280584273,,
60502.8031285959,,
60502.803451355554,,
60502.803774191256,,
60502.804096891574,,
60502.80441962277,,
60502.804742570814,,
60502.80506524311,,
60502.80538792405,,
60502.8057105882,,
60502.80603557699,,
60502.80635822636,,
60502.80668130508,,
60502.8073447859,,
60502.807667537156,,
60502.80799022321,,
60502.80831293791,,
60502.80863572638,,
60502.80895874002,,
60502.809281815455,,
60502.809605028444,,
60502.8099281093,,
60502.81025113542,,
60502.81057424692,,
60502.81089741367,,
60502.811220393436,,
60502.81154387172,,
60502.81186696012,,
60502.812189944045,,
60502.81251303889,,
60502.81283592427,,
60502.81315898095,,
60502.813481982856,,
60502.81380497616,,
